city,nightmarket_name,latitude,longitude,place_id,wt,url
桃園市,大園夜市,25.0664081,121.2002559,ChIJybMyLZwgaDQRFIbqyJ157ko,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: Closed', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']",https://maps.google.com/?cid=5399386721851442708
桃園市,大溪夜市,24.8784094,121.290891,ChIJ_R5-JScYaDQRIJgn9T-ysM0,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u20099:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=14821542361441998880
桃園市,新屋夜市,24.9736596,121.0976909,ChIJtbcECrglaDQRK_c8vBJ9NBQ,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 4:00\u2009–\u200910:00\u202fPM']",https://maps.google.com/?cid=1455926098968508203
桃園市,草漯夜市,25.043166,121.138723,ChIJWWzp4hwnaDQRqCD5EVgJuzs,"['Monday: Closed', 'Tuesday: 6:30\u2009–\u200910:30\u202fPM', 'Wednesday: Closed', 'Thursday: 6:30\u2009–\u200910:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=4304044142745952424
桃園市,新坡夜市,25.0084718,121.1425616,ChIJk-974I8maDQRz12BzNh_F8k,"['Monday: 5:00\u2009–\u200911:00\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 5:00\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",https://maps.google.com/?cid=14490190895208553935
桃園市,觀音夜市,25.0392058,121.0791673,ChIJI3WgXsgpaDQRQ6lpzLj1r94,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=16046314171396630851
桃園市,復興夜市,24.816755,121.349601,ChIJ4131C9QWaDQRPZ-zQ8axF0Q,[],https://maps.google.com/?cid=4906585784140930877
桃園市,山腳夜市,25.0845054,121.2872668,ChIJk5qcvkmgQjQRs96bHti64bg,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",https://maps.google.com/?cid=13322134610127871667
新竹市,城隍廟夜市,24.804381,120.9656054,ChIJJTpUEMA1aDQRze7yA22mBgw,"['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM']",https://maps.google.com/?cid=866562965463297741
新竹市,清大夜市,24.7962646,120.9984199,ChIJIYJLrXI2aDQRr2p66rmhpXQ,"['Monday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 5:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']",https://maps.google.com/?cid=8405302099431811759
